tmdb_id,title,original_title,release_year,release_date,runtime,overview,rating,rating_count,popularity,budget,revenue,genres,keywords,tags,directors,producers,writers,cast,production_countries,original_language,status,adult,homepage,imdb_id,poster_url,backdrop_url,tmdb_url
278,Побег из Шоушенка,The Shawshank Redemption,1994,1994-09-23,142,"Бухгалтер Энди Дюфрейн обвинён в убийстве собственной жены и её любовника. Оказавшись в тюрьме под названием Шоушенк, он сталкивается с жестокостью и беззаконием, царящими по обе стороны решётки. Каждый, кто попадает в эти стены, становится их рабом до конца жизни. Но Энди, обладающий живым умом и доброй душой, находит подход как к заключённым, так и к охранникам, добиваясь их особого к себе расположения.",8.7,29318,25.7489,25000000,28341469,драма|криминал,тюрьма|дружба|жестокость полиции|коррупция|по роману или книге|свобода|надеяться|тюремная камера|правонарушитель|искупление|комиссия по условно-досрочному освобождению|побег из тюрьмы|незаконное тюремное заключение|межрасовая дружба|обвинен в убийстве|1940-е годы|закадровый голос|очаровывать,,Фрэнк Дарабонт,Ники Марвин,Фрэнк Дарабонт,Тим Роббинс (Andy Dufresne)|Морган Фримен (Ellis Boyd 'Red' Redding)|Боб Гантон (Warden Norton)|Уильям Сэдлер (Heywood)|Клэнси Браун (Captain Byron T. Hadley)|Гил Беллоуз (Tommy)|Джеймс Уитмор (Brooks Hatlen)|Марк Ролстон (Bogs Diamond)|Джеффри ДеМанн (1946 D.A.)|Larry Brandenburg (Skeet)|Neil Giuntoli (Jigger)|Брайан Либби (Floyd)|David Proval (Snooze)|Joseph Ragno (Ernie)|Jude Ciccolella (Guard Mert),United States of America,en,Released,Нет,,tt0111161,https://image.tmdb.org/t/p/w500/yvmKPlTIi0xdcFQIFcQKQJcI63W.jpg,https://image.tmdb.org/t/p/original/zfbjgQE1uSd9wiPTX4VzsLi0rGG.jpg,https://www.themoviedb.org/movie/278
238,Крёстный отец,The Godfather,1972,1972-03-14,175,"Криминальная сага, повествующая о нью-йоркской сицилийской мафиозной семье Корлеоне. Фильм охватывает период 1945-1955 годов. Глава семьи, Дон Вито Корлеоне, выдаёт замуж свою дочь. В это время со Второй мировой войны возвращается его любимый сын Майкл. Майкл, герой войны, гордость семьи, не выражает желания заняться жестоким семейным бизнесом. Дон Корлеоне ведёт дела по старым правилам, но наступают иные времена, и появляются люди, желающие изменить сложившиеся порядки. На Дона Корлеоне совершается покушение.",8.7,22124,24.7565,6000000,245066411,драма|криминал,по роману или книге|потеря любимого человека|любовь с первого взгляда|Италия|гангстер|символизм|патриарх|Европа|организованная преступность|мафия|религия|адвокат|мотив мести|преступный клан|сицилийская мафия|религиозное лицемерие|насилие с применением огнестрельного оружия|прийти к власти|мертвая лошадь|групповое насилие|1940-е годы|1950-е годы|мафиозная война|мощный,Крёстный отец (Коллекция),Фрэнсис Форд Коппола,Albert S. Ruddy|Фрэнсис Форд Коппола|Robert Evans,Mario Puzo|Фрэнсис Форд Коппола,Марлон Брандо (Don Vito Corleone)|Аль Пачино (Michael Corleone)|Джеймс Каан (Sonny Corleone)|Роберт Дюваль (Tom Hagen)|Richard S. Castellano (Clemenza)|Дайан Китон (Kay Adams)|Талия Шайр (Connie Corleone Rizzi)|Gianni Russo (Carlo Rizzi)|Sterling Hayden (Captain McCluskey)|Джон Марли (Jack Woltz)|Richard Conte (Barzini)|Al Lettieri (Sollozzo)|Эйб Вигода (Sal Tessio)|John Cazale (Fredo Corleone)|Rudy Bond (Cuneo),United States of America,en,Released,Нет,,tt0068646,https://image.tmdb.org/t/p/w500/hoowzozsn0XQGtgH8nyivAMZfPN.jpg,https://image.tmdb.org/t/p/original/tmU7GeKVybMWFButWEGl2M4GeiP.jpg,https://www.themoviedb.org/movie/238
240,Крёстный отец 2,The Godfather Part II,1974,1974-12-20,200,"В центре драмы представители нового поколения гангстерского клана — дона Корлеоне и его сына, для которых не существует моральных преград на пути достижения поставленых целей. Они превращают мафию, построенную по патриархальным, еще сицилийским законам, в весьма прагматичную, жесткую корпорацию, плавно интегрирующуюся в большой бизнес Америки.",8.571,13375,16.3449,13000000,102600000,драма|криминал,Канун Нового года|Нью-Йорк|по роману или книге|итальянско-американский|Куба|Италия|гангстер|хвалить|шантажировать|символизм|сенатор|месть|убийство|предательство|организованная преступность|вымогательство|мафия|адвокат|пригород|сицилийская мафия|коррумпированный политик|1950-е годы|новый год|грандиозный|насилие|любуясь,Крёстный отец (Коллекция),Фрэнсис Форд Коппола,Фрэнсис Форд Коппола,Mario Puzo|Фрэнсис Форд Коппола,Аль Пачино (Don Michael Corleone)|Роберт Дюваль (Tom Hagen)|Дайан Китон (Kay Corleone)|Роберт Де Ниро (Vito Corleone)|John Cazale (Frederico 'Fredo' Corleone)|Талия Шайр (Constanzia 'Connie' Corleone)|Lee Strasberg (Hyman Roth)|Michael V. Gazzo (Frank Pentangeli)|Джи Ди Спрэдлин (Senator Pat Geary)|Richard Bright (Al Neri)|Gastone Moschin (Don Fanucci)|Tom Rosqui (Rocco Lampone)|Бруно Кёрби (Young Clemenza)|Фрэнк Сиверо (Genco Abbandando)|Francesca De Sapio (Young Mama Corleone),United States of America,en,Released,Нет,,tt0071562,https://image.tmdb.org/t/p/w500/tOLQ3iRDfbwhVaw3QjDzIOS7zcu.jpg,https://image.tmdb.org/t/p/original/kGzFbGhp99zva6oZODW5atUtnqi.jpg,https://www.themoviedb.org/movie/240
129,Унесённые призраками,千と千尋の神隠し,2001,2001-07-20,125,"Тихиро с мамой и папой переезжает в новый дом. Заблудившись по дороге, они оказываются в странном пустынном городе, где их ждет великолепный пир. Родители с жадностью набрасываются на еду и к ужасу девочки превращаются в свиней, став пленниками злой колдуньи Юбабы. Теперь, оказавшись одна среди волшебных существ и загадочных видений, Тихиро должна придумать, как избавить своих родителей от чар коварной старухи.",8.534,17684,18.0893,19000000,274925095,мультфильм|семейный|фэнтези,ведьма|отношения между родителями и детьми|темнота|баня|магия|дух|параллельный мир|парк с аттракционами|ёкай|японская мифология|аниме,,Хаяо Миядзаки,Тошио Судзуки,Хаяо Миядзаки,Руми Хиираги (Chihiro (voice))|Мию Ирино (Haku (voice))|Мари Нацуки (Yubaba / Zeniba (voice))|Такаши Наито (Father (voice))|Ясуко Савагути (Mother (voice))|Тацуя Гасюин (Aogaeru (voice))|Рюноскэ Камики (Boh (voice))|Юми Тамай (Rin (voice))|Йо Оидзуми (Bandai Frog (voice))|Коба Хаяши (River Spirit (voice))|Цунэхико Камидзё (Chichiyaku (voice))|Такэхико Оно (Aniyaku (voice))|Бунта Сугавара (Kamaji (voice))|Сигэру Вакита ((voice))|Сиро Сайто ((voice)),Япония,ja,Released,Нет,,tt0245429,https://image.tmdb.org/t/p/w500/xV3zYcOA6xFjYwizIMDDkl2MGT7.jpg,https://image.tmdb.org/t/p/original/ukfI9QkU1aIhOhKXYWE9n3z1mFR.jpg,https://www.themoviedb.org/movie/129
155,Тёмный рыцарь,The Dark Knight,2008,2008-07-16,152,"Бэтмен поднимает ставки в войне с криминалом. С помощью лейтенанта Джима Гордона и прокурора Харви Дента он намерен очистить улицы от преступности, отравляющей город. Сотрудничество оказывается эффективным, но скоро они обнаружат себя посреди хаоса, развязанного восходящим криминальным гением, известным испуганным горожанам под именем Джокер.",8.525,34790,25.0893,185000000,1004558444,драма|боевик|криминал|триллер,садизм|хаос|секретная личность|борец с преступностью|супергерой|антигерой|пугало|на основе комикса|линчеватель|организованная преступность|трагический герой|антизлодей|криминальный вдохновитель|окружной прокурор|суперсила|суперзлодей|неонуар|смелый,Тёмный рыцарь (Коллекция),Кристофер Нолан,Эмма Томас|Кристофер Нолан|Чарльз Ровен,Джонатан Нолан|Кристофер Нолан,Кристиан Бейл (Bruce Wayne)|Хит Леджер (Joker)|Аарон Екгарт (Harvey Dent)|Майкл Кейн (Alfred)|Мэгги Джилленхол (Rachel)|Гэри Олдман (Gordon)|Морган Фримен (Lucius Fox)|Моник Кёрнен (Ramirez)|Рон Дин (Wuertz)|Киллиан Мёрфи (Scarecrow)|Чин Хан (Lau)|Нестор Карбонелл (Mayor)|Эрик Робертс (Maroni)|Ричи Костер (Chechen)|Энтони Майкл Холл (Engel),United Kingdom|United States of America,en,Released,Нет,,tt0468569,https://image.tmdb.org/t/p/w500/aPtN76OjnNKLqCJ2FJBnQOIL031.jpg,https://image.tmdb.org/t/p/original/dqK9Hag1054tghRQSqLSfrkvQnA.jpg,https://www.themoviedb.org/movie/155
497,Зелёная миля,The Green Mile,1999,1999-12-10,189,"Пол Эджкомб — начальник блока смертников в тюрьме «Холодная гора», каждый из узников которого однажды проходит «зеленую милю» по пути к месту казни. Пол повидал много заключённых и надзирателей за время работы. Однако гигант Джон Коффи, обвинённый в страшном преступлении, стал одним из самых необычных обитателей блока.",8.503,18587,14.3664,60000000,286801374,фэнтези|драма|криминал,умственно отсталый|смертная казнь|по роману или книге|Юг США|психопат|камера смертников|тюремный охранник|сверхъестественное|великая депрессия|тюремный охранник|тюрьма|электрический стул|смертная казнь|пытка|магический реализм|выздоровление|1930-е годы|злоупотребление властью|сострадательный|жестокий,,Фрэнк Дарабонт,Фрэнк Дарабонт|David Valdes,Фрэнк Дарабонт,Том Хэнкс (Paul Edgecomb)|Дэвид Морс (Brutus 'Brutal' Howell)|Бонни Хант (Jan Edgecomb)|Майкл Кларк Дункан (John Coffey)|Джеймс Кромвелл (Warden Hal Moores)|Майкл Джитер (Eduard Delacroix)|Грэм Грин (Arlen Bitterbuck)|Даг Хатчисон (Percy Wetmore)|Сэм Рокуэлл ('Wild Bill' Wharton)|Барри Пеппер (Dean Stanton)|Джеффри ДеМанн (Harry Terwilliger)|Патрисия Кларксон (Melinda Moores)|Гарри Дин Стэнтон (Toot-Toot)|Даббс Грир (Old Paul Edgecomb)|Ева Брент (Elaine Connelly),United States of America,en,Released,Нет,https://www.warnerbros.com/movies/green-mile,tt0120689,https://image.tmdb.org/t/p/w500/lHxe8t4B0CKv4DO0C0B4rsuiG95.jpg,https://image.tmdb.org/t/p/original/b6HWTOxn1xevvyHU2K9ICvaRU6g.jpg,https://www.themoviedb.org/movie/497
389,12 разгневанных мужчин,12 Angry Men,1957,1957-04-10,97,"Юношу обвиняют в убийстве собственного отца, ему грозит электрический стул. Двенадцать присяжных собираются чтобы вынести вердикт: виновен или нет.С начала заседания почти все склонились к тому, что виновен, и лишь только один из двенадцати позволил себе усомниться. Счет голосов присяжных по принципу «виновен — невиновен» был 11:1. К концу собрания мнения судей кардинально изменились…",8.5,9565,10.1783,397751,4360000,драма,смертная казнь|анонимность|судебное дело|судить|jurors|невиновность|свидетель|нож|вопрос жизни и смерти|на основе пьесы или мюзикла|пробный|убийство|дебаты|смертная казнь|черно-белый|зал суда|злой|драма в зале суда,,Сидни Люмет,Генри Фонда|Reginald Rose,Reginald Rose,Мартин Болсам (Juror 1)|Джон Фидлер (Juror 2)|Ли Джей Кобб (Juror 3)|Э. Г. Маршалл (Juror 4)|Jack Klugman (Juror 5)|Edward Binns (Juror 6)|Джек Уорден (Juror 7)|Генри Фонда (Juror 8)|Joseph Sweeney (Juror 9)|Ed Begley (Juror 10)|Jiří Voskovec (Juror 11)|Роберт Уэббер (Juror 12)|Rudy Bond (Judge (uncredited))|Tom Gorman (Stenographer (uncredited))|James Kelly (Guard (uncredited)),United States of America,en,Released,Нет,,tt0050083,https://image.tmdb.org/t/p/w500/uDFEvhvKrH61KuGWWozRtbw2Rjv.jpg,https://image.tmdb.org/t/p/original/w4bTBXcqXc2TUyS5Fc4h67uWbPn.jpg,https://www.themoviedb.org/movie/389
19404,Непохищенная невеста,दिलवाले दुल्हनिया ले जायेंगे,1995,1995-10-20,181,"Двадцать лет тому назад Балдев Синг эмигрирует в Англию и оседает в Лондоне вместе с семьёй. Но даже после столь продолжительного проживания на чужбине он сохраняет приверженность национальным традициям и планирует выдать замуж старшую дочь Симран за сына старого друга, живущего в Пенджабе. Незадолго перед помолвкой Симран знакомится с весельчаком и балагуром Раджом. Симран очень симпатичен Радж, но она далеко не сразу осознаёт, что под маской беззаботности скрывается преданная и любящая её душа. Когда молодые люди наконец-то понимают, что любят друг друга, уже поздно, приготовления к помолвке невозможно остановить. Единственная возможность избежать непоправимого — бежать, но Радж убежден, что им в жизни не будет счастья без благословения родителей Симран…",8.5,4521,9.2422,13200000,100000000,комедия|драма|мелодрама,повседневная жизнь семьи|семейная история|отношения любви и ненависти|семейная драма|любовный роман|любопытный|повседневный,,Aditya Chopra,Yash Chopra,Aditya Chopra,"Kajol (Simran Singh)|Шахрух Хан (Raj Malhotra)|Амриш Пури (Chaudhry Baldev Singh)|Farida Jalal (Lajwanti 'Lajjo' Singh)|Anupam Kher (Dharamvir Malhotra)|Pooja Ruparel (Rajeshwari """"Chutki"""" Singh)|Parmeet Sethi (Kuljeet Singh)|Satish Shah (Ajit Singh, Kuljeet's Father)|Mandira Bedi (Preeti Singh, Kuljeet's Sister)|Achala Sachdev (Simran's Grandmother)|Himani Shivpuri (Simran's Aunt)|Karan Johar (Rocky, Raj's friend)|Arjun Sablok (Roby, Raj's friend)|Anaita Shroff Adajania (Sheena)|Uday Chopra (Man on Bike)",Индия,hi,Released,Нет,,tt0112870,https://image.tmdb.org/t/p/w500/sctBFkLHYYqaHHNJj7r1jSOkfB9.jpg,https://image.tmdb.org/t/p/original/zQDFHYNVVVp9OAYSixYAG1SyX1l.jpg,https://www.themoviedb.org/movie/19404
346,Семь Самураев,七人の侍,1954,1954-04-26,202,"Япония. 16 век. В стране полыхает гражданская война, повсюду орудуют банды разбойников и мародеров. Бедные крестьяне нанимают для своей защиты семерых самураев, которые немного сплачивают раздробленных и малодушных жителей деревни в этой борьбе…Куросава показывает яркие, выразительные и такие достоверные персонажи, что, кажется, всему происходящему зритель был свидетелем сам.Несмотря на реалистичность и беспощадность в подаче материала, картина пронизана высокой поэтикой и лиризмом, жизнеутверждающим пониманием и человечностью. Этот фильм стал в буквальном смысле культовым для кинематографистов всего мира.",8.5,4039,6.637,2000000,105000000,боевик|драма,боевые искусства|Япония|самурай|меч|крестьянин|деревня|грабеж|рис|фехтование|моральная двусмысленность|запретная любовь|черно-белый|боевой|бандит|упражняться|фермер|Дзидайгэки|16 век|классовые отношения|коллективизм|грабить|забитые фермеры|буси|тактическая война|насилие|благоговейный|жестокий,,Акира Куросава,本木荘二郎,小国英雄|橋本忍|Акира Куросава,"Тосиро Мифунэ (Kikuchiyo)|Такаси Симура (Kambei Shimada)|稲葉義男 (Gorobei Katayama)|宮口精二 (Kyuzo)|Минору Тиаки (Heihachi Hayashida)|Дайскэ Като (Shichiroji)|木村功 (Katsushiro Okamoto)|津島恵子 (Shino)|島崎雪子 (Rikichi's Wife)|藤原釜足 (Manzô - Father of Shino)|小杉義男 (Mosuke)|左卜全 (Yohei)|土屋嘉男 (Rikichi)|高堂国典 (Gisaku, the Old Man)|東野英治郎 (Kidnapper)",Япония,ja,Released,Нет,,tt0047478,https://image.tmdb.org/t/p/w500/6UzaYYURo3T6e4jBHHWaUWRNayZ.jpg,https://image.tmdb.org/t/p/original/qvZ91FwMq6O47VViAr8vZNQz3WI.jpg,https://www.themoviedb.org/movie/346
122,Властелин колец: Возвращение короля,The Lord of the Rings: The Return of the King,2003,2003-12-17,201,"Повелитель сил тьмы Саурон направляет свою бесчисленную армию под стены Минас-Тирита, крепости Последней Надежды. Он предвкушает близкую победу, но именно это мешает ему заметить две крохотные фигурки хоббитов, приближающихся к Роковой Горе, где им предстоит уничтожить Кольцо Всевластья.",8.491,25716,19.459,94000000,1118888979,приключения|фэнтези|боевик,армия|по роману или книге|эльфы|карлик|магия|королевство|одержимость|храбрость|замок|вулкан|гигантский паук|продолжение|честь|король|жестокость|безумие|раздвоение личности|фантастический мир|волшебник|эпическая битва|путешествие|кольцо|квест|живое действие и анимация|путешествие героя|высокая фантазия|призрак|меч и колдовство|силовое безумие|великая война|треккинг|добро против зла|изготовление меча|война|обнадеживающий|крылатые существа|армии|духи,Властелин колец (Коллекция),Питер Джексон,Питер Джексон|Barrie M. Osborne|Фрэн Уолш,Питер Джексон|Филиппа Бойенс|Фрэн Уолш,Элайджа Вуд (Frodo)|Иэн МакКеллен (Gandalf)|Вигго Мортенсен (Aragorn)|Шон Эстин (Sam)|Энди Сёркис (Gollum / Smeagol)|Доминик Монаган (Merry)|Билли Бойд (Pippin)|Джон Ноубл (Denethor)|Дэвид Уэнэм (Faramir)|Миранда Отто (Éowyn)|Бернард Хилл (Théoden)|Джон Рис-Дэвис (Gimli)|Орландо Блум (Legolas)|Хьюго Уивинг (Elrond)|Лив Тайлер (Arwen),New Zealand|United States of America,en,Released,Нет,,tt0167260,https://image.tmdb.org/t/p/w500/x6NqCWwU1SrQnvfdmVPAuATyUgD.jpg,https://image.tmdb.org/t/p/original/2u7zbn8EudG6kLlBzUYqP8RyFU4.jpg,https://www.themoviedb.org/movie/122
